IMPLEMENTATION,NUM_THREADS,TIME(s)
sequential,1,0.935363
sequential,1,0.876656
sequential,1,0.859071
sequential,1,0.857831
sequential,1,0.945421
sequential,1,0.942355
sequential,1,0.870115
sequential,1,0.961714
sequential,1,0.860477
sequential,1,0.944502
sequential,1,0.938895
sequential,1,0.863922
sequential,1,0.941346
sequential,1,0.877239
sequential,1,0.870336
OMP,1,0.957556
OMP,1,0.963096
OMP,1,0.966673
OMP,1,0.955551
OMP,1,0.876659
OMP,1,0.877114
OMP,1,0.875682
OMP,1,0.948161
OMP,1,0.953864
OMP,1,0.87619
OMP,1,0.873929
OMP,1,0.86552
OMP,1,0.946498
OMP,1,0.873894
OMP,1,0.865357
OMP,2,0.476857
OMP,2,0.477152
OMP,2,0.454412
OMP,2,0.504937
OMP,2,0.496103
OMP,2,0.484659
OMP,2,0.485888
OMP,2,0.483831
OMP,2,0.473451
OMP,2,0.506886
OMP,2,0.463161
OMP,2,0.491055
OMP,2,0.494421
OMP,2,0.494129
OMP,2,0.494547
OMP,4,0.257601
OMP,4,0.264307
OMP,4,0.26303
OMP,4,0.262086
OMP,4,0.264318
OMP,4,0.264453
OMP,4,0.255163
OMP,4,0.259258
OMP,4,0.255099
OMP,4,0.262669
OMP,4,0.261515
OMP,4,0.267502
OMP,4,0.264083
OMP,4,0.261341
OMP,4,0.266915
OMP,6,0.190331
OMP,6,0.192496
OMP,6,0.188051
OMP,6,0.19303
OMP,6,0.193587
OMP,6,0.191439
OMP,6,0.192279
OMP,6,0.191866
OMP,6,0.190193
OMP,6,0.186058
OMP,6,0.189375
OMP,6,0.193864
OMP,6,0.186096
OMP,6,0.189252
OMP,6,0.192914
OMP,8,0.245739
OMP,8,0.232714
OMP,8,0.219482
OMP,8,0.22137
OMP,8,0.249781
OMP,8,0.25014
OMP,8,0.254599
OMP,8,0.234024
OMP,8,0.239597
OMP,8,0.245453
OMP,8,0.246278
OMP,8,0.221573
OMP,8,0.219187
OMP,8,0.250715
OMP,8,0.24811
OMP,12,0.181396
OMP,12,0.17427
OMP,12,0.181327
OMP,12,0.177214
OMP,12,0.178696
OMP,12,0.179602
OMP,12,0.179345
OMP,12,0.173998
OMP,12,0.181642
OMP,12,0.176485
OMP,12,0.178688
OMP,12,0.17773
OMP,12,0.175084
OMP,12,0.176955
OMP,12,0.18006
OMP,16,0.639596
OMP,16,0.640604
OMP,16,0.643389
OMP,16,0.646371
OMP,16,0.637279
OMP,16,0.647898
OMP,16,0.650214
OMP,16,0.636914
OMP,16,0.64568
OMP,16,0.650555
OMP,16,0.641041
OMP,16,0.643698
OMP,16,0.650128
OMP,16,0.646525
OMP,16,0.649398
pthreads,1,1.1749
pthreads,1,1.17308
pthreads,1,1.16597
pthreads,1,1.15574
pthreads,1,1.1462
pthreads,1,1.15121
pthreads,1,1.15589
pthreads,1,1.16238
pthreads,1,1.15558
pthreads,1,1.15397
pthreads,1,1.15347
pthreads,1,1.15636
pthreads,1,1.15565
pthreads,1,1.16729
pthreads,1,1.14784
pthreads,2,0.722006
pthreads,2,0.724403
pthreads,2,0.726969
pthreads,2,0.730234
pthreads,2,0.721986
pthreads,2,0.731995
pthreads,2,0.724513
pthreads,2,0.727451
pthreads,2,0.721538
pthreads,2,0.727289
pthreads,2,0.724357
pthreads,2,0.724751
pthreads,2,0.730414
pthreads,2,0.726524
pthreads,2,0.734354
pthreads,4,0.668959
pthreads,4,0.670694
pthreads,4,0.67406
pthreads,4,0.665729
pthreads,4,0.674654
pthreads,4,0.674558
pthreads,4,0.673377
pthreads,4,0.669286
pthreads,4,0.691558
pthreads,4,0.672874
pthreads,4,0.68564
pthreads,4,0.670979
pthreads,4,0.681746
pthreads,4,0.675244
pthreads,4,0.694152
pthreads,6,1.11875
pthreads,6,1.06477
pthreads,6,1.09276
pthreads,6,1.08265
pthreads,6,1.06816
pthreads,6,1.05814
pthreads,6,1.05518
pthreads,6,1.09283
pthreads,6,1.11274
pthreads,6,1.11509
pthreads,6,1.07978
pthreads,6,1.05238
pthreads,6,1.09754
pthreads,6,1.08292
pthreads,6,1.12679
pthreads,8,1.48809
pthreads,8,1.46722
pthreads,8,1.46212
pthreads,8,1.472
pthreads,8,1.46327
pthreads,8,1.48879
pthreads,8,1.4779
pthreads,8,1.4644
pthreads,8,1.45825
pthreads,8,1.46758
pthreads,8,1.45043
pthreads,8,1.45629
pthreads,8,1.47616
pthreads,8,1.46679
pthreads,8,1.46242
pthreads,12,2.28244
pthreads,12,2.33272
pthreads,12,2.30526
pthreads,12,2.3173
pthreads,12,2.25683
pthreads,12,2.27719
pthreads,12,2.30962
pthreads,12,2.31431
pthreads,12,2.27999
pthreads,12,2.25048
pthreads,12,2.29931
pthreads,12,2.33913
pthreads,12,2.2683
pthreads,12,2.32042
pthreads,12,2.30449
pthreads,16,3.28497
pthreads,16,3.30478
pthreads,16,3.41087
pthreads,16,3.21559
pthreads,16,3.31769
pthreads,16,3.25783
pthreads,16,3.24151
pthreads,16,3.32036
pthreads,16,3.28031
pthreads,16,3.32011
pthreads,16,3.37565
pthreads,16,3.34536
pthreads,16,3.3265
pthreads,16,3.2401
pthreads,16,3.26067
vector,1,0.333324
vector,1,0.37928
vector,1,0.330559
vector,1,0.380463
