IMPLEMENTATION,NUM_THREADS,TIME(s)
sequential,1,0.9030161999999999
OMP,1,0.9117162666666666
OMP,2,0.4854326
OMP,4,0.26195599999999997
OMP,6,0.19072206666666666
OMP,8,0.23858413333333334
OMP,12,0.17816613333333334
OMP,16,0.6446193333333333
pthreads,1,1.1583686666666668
pthreads,2,0.7265855999999999
pthreads,4,0.6762339999999999
pthreads,6,1.0866986666666667
pthreads,8,1.468114
pthreads,12,2.2971860000000004
pthreads,16,3.3001533333333333
vector,1,0.35377800000000004
vector,2,0.1853544666666667
vector,4,0.10553076666666666
vector,6,0.07704320666666667
vector,8,0.09197482666666666
vector,12,0.07822010666666666
vector,16,0.4776281333333333
CUDA,1,0.30020399999999997
