IMPLEMENTATION,NUM_THREADS,TIME(s)
sequential,1,0.041366,lab3-scenario.xml
sequential,1,0.0422114,lab3-scenario.xml
sequential,1,0.042845,lab3-scenario.xml
sequential,1,0.0417018,lab3-scenario.xml
sequential,1,0.0420315,lab3-scenario.xml
sequential,1,0.0249461,worst_scenario.xml
sequential,1,0.0249559,worst_scenario.xml
sequential,1,0.0251659,worst_scenario.xml
sequential,1,0.0263188,worst_scenario.xml
sequential,1,0.0255315,worst_scenario.xml
sequential,1,14.9046,big_scenario.xml
sequential,1,14.0013,big_scenario.xml
sequential,1,14.0481,big_scenario.xml
sequential,1,14.7638,big_scenario.xml
sequential,1,13.9488,big_scenario.xml
OMP,1,0.0622271,lab3-scenario.xml
OMP,1,0.0702795,lab3-scenario.xml
OMP,1,0.0451497,lab3-scenario.xml
OMP,1,0.0442101,lab3-scenario.xml
OMP,1,0.0427252,lab3-scenario.xml
OMP,1,0.0263533,worst_scenario.xml
OMP,1,0.0273665,worst_scenario.xml
OMP,1,0.0268906,worst_scenario.xml
OMP,1,0.0279901,worst_scenario.xml
OMP,1,0.0268196,worst_scenario.xml
OMP,1,13.9068,big_scenario.xml
OMP,1,14.5282,big_scenario.xml
OMP,1,13.7283,big_scenario.xml
OMP,1,13.7291,big_scenario.xml
OMP,1,14.65,big_scenario.xml
OMP,2,0.0273327,lab3-scenario.xml
OMP,2,0.0310449,lab3-scenario.xml
OMP,2,0.0395494,lab3-scenario.xml
OMP,2,0.0393145,lab3-scenario.xml
OMP,2,0.0273309,lab3-scenario.xml
OMP,2,0.0183173,worst_scenario.xml
OMP,2,0.0178273,worst_scenario.xml
OMP,2,0.018773,worst_scenario.xml
OMP,2,0.0183548,worst_scenario.xml
OMP,2,0.0182827,worst_scenario.xml
OMP,2,7.29485,big_scenario.xml
OMP,2,7.47123,big_scenario.xml
OMP,2,7.36577,big_scenario.xml
OMP,2,7.41984,big_scenario.xml
OMP,2,7.74381,big_scenario.xml
OMP,4,0.0203209,lab3-scenario.xml
OMP,4,0.02112,lab3-scenario.xml
OMP,4,0.0210263,lab3-scenario.xml
OMP,4,0.0217654,lab3-scenario.xml
OMP,4,0.019414,lab3-scenario.xml
OMP,4,0.0227412,worst_scenario.xml
OMP,4,0.019947,worst_scenario.xml
OMP,4,0.0172719,worst_scenario.xml
OMP,4,0.0210191,worst_scenario.xml
OMP,4,0.0195031,worst_scenario.xml
OMP,4,4.10712,big_scenario.xml
OMP,4,3.97395,big_scenario.xml
OMP,4,3.9985,big_scenario.xml
OMP,4,4.03998,big_scenario.xml
OMP,4,4.07351,big_scenario.xml
pthreads,1,0.217188,lab3-scenario.xml
pthreads,1,0.210891,lab3-scenario.xml
pthreads,1,0.220289,lab3-scenario.xml
pthreads,1,0.214662,lab3-scenario.xml
pthreads,1,0.212498,lab3-scenario.xml
pthreads,1,0.192993,worst_scenario.xml
pthreads,1,0.196062,worst_scenario.xml
pthreads,1,0.195005,worst_scenario.xml
pthreads,1,0.195137,worst_scenario.xml
pthreads,1,0.202222,worst_scenario.xml
pthreads,1,16.5302,big_scenario.xml
pthreads,1,17.2921,big_scenario.xml
pthreads,1,17.2091,big_scenario.xml
pthreads,1,17.3895,big_scenario.xml
pthreads,1,16.4633,big_scenario.xml
pthreads,2,0.276761,lab3-scenario.xml
pthreads,2,0.282931,lab3-scenario.xml
pthreads,2,0.281854,lab3-scenario.xml
pthreads,2,0.272012,lab3-scenario.xml
pthreads,2,0.280829,lab3-scenario.xml
pthreads,2,0.271877,worst_scenario.xml
pthreads,2,0.268856,worst_scenario.xml
pthreads,2,0.271427,worst_scenario.xml
pthreads,2,0.265808,worst_scenario.xml
pthreads,2,0.267825,worst_scenario.xml
pthreads,2,8.51037,big_scenario.xml
pthreads,2,8.52931,big_scenario.xml
pthreads,2,8.5047,big_scenario.xml
pthreads,2,8.50722,big_scenario.xml
pthreads,2,8.54208,big_scenario.xml
pthreads,4,0.454427,lab3-scenario.xml
pthreads,4,0.462864,lab3-scenario.xml
pthreads,4,0.454586,lab3-scenario.xml
pthreads,4,0.451026,lab3-scenario.xml
pthreads,4,0.447339,lab3-scenario.xml
pthreads,4,0.446924,worst_scenario.xml
pthreads,4,0.443372,worst_scenario.xml
pthreads,4,0.442395,worst_scenario.xml
pthreads,4,0.444253,worst_scenario.xml
